ART 101,to have gained experience in group work and collaboration through a thematic project in visual art, , 
MUS 120,"Identify specific elements of music such as rhythm, meter, timbre, musical from and notation ", , 
MUS 120,"Identify basic style characteristics of music in various major historical periods (Middle Ages, Renaissance, Baroque, Classical, Romantic and Modern Era)", , 
MUS 120,Identify specific historical and social movements and their effects on music and other art forms, , 
MUS 120,"Make connections between historical and social movements and periods, relating cause and effect, reaction, as well as Dionysian and Apollonian influences in the periods", , 
MUS 120,"Identify basic elements of non-western music, musical styles and forms including music of Japan, Indonesia, and India", , 
MUS 120,Identify and understand socio-economic influences upon various music, , 
IDS 151,"describe, in writing, their own values and beliefs and the values and beliefs of others, and explain how these values and beliefs have come into being", , 
IDS 151,"describe, in writing, their current and future roles and responsibilities within various communities, including the global community", , 
IDS 151,"describe, in writing, the components of the Olivet Compact and the ways in which their personal commitments and values align with these responsibilities", , 
IDS 151,"compare, in discussion and in writing, multiple perspectives people may have on a particular social issue, taking into account the role of race, class gender, sexual identity, and privilege", , 
IDS 151,"demonstrate critical thinking skills, through discussion and in writing, showing the ability to analyze the truth and acceptability of evidence and support and the significance of language, while avoiding argumentative fallacies and errors", , 
IDS 151,"define privilege, explain types of privilege a person may have within two particular communities, and examine in writing the ways they are privileged and not privileged in at least two ways", , 
